id,to,type,weight
obo.ICO_0000059,obo.ICO_0000041,SubClassOf,1.0
obo.ICO_0000060,obo.OBI_0000011,SubClassOf,1.0
obo.ICO_0000061,obo.ICO_0000001,SubClassOf,1.0
obo.ICO_0000062,obo.ICO_0000073,SubClassOf,1.0
obo.ICO_0000063,obo.ICO_0000001,SubClassOf,1.0
obo.ICO_0000064,obo.OBI_0000066,SubClassOf,1.0
obo.ICO_0000065,obo.ICO_0000064,SubClassOf,1.0
obo.ICO_0000066,obo.OBI_0001622,SubClassOf,1.0
obo.ICO_0000068,obo.ICO_0000041,SubClassOf,1.0
obo.ICO_0000069,obo.ICO_0000072,SubClassOf,1.0
obo.ICO_0000070,obo.ICO_0000072,SubClassOf,1.0
obo.ICO_0000071,obo.ICO_0000072,SubClassOf,1.0
obo.ICO_0000072,obo.NCBITaxon_9606,SubClassOf,1.0
obo.ICO_0000073,obo.NCBITaxon_9606,SubClassOf,1.0
obo.ICO_0000074,obo.ICO_0000046,SubClassOf,1.0
obo.ICO_0000075,obo.IAO_0000310,SubClassOf,1.0
obo.ICO_0000076,obo.ICO_0000074,SubClassOf,1.0
obo.ICO_0000077,obo.BFO_0000016,SubClassOf,1.0
obo.ICO_0000078,obo.BFO_0000016,SubClassOf,1.0
obo.ICO_0000079,obo.ICO_0000006,SubClassOf,1.0
obo.ICO_0000080,obo.NCBITaxon_9606,SubClassOf,1.0
obo.ICO_0000081,obo.BFO_0000023,SubClassOf,1.0
obo.ICO_0000082,obo.NCBITaxon_9606,SubClassOf,1.0
obo.ICO_0000083,obo.ICO_0000103,SubClassOf,1.0
obo.ICO_0000084,obo.OBI_0000810,SubClassOf,1.0
obo.ICO_0000085,obo.ICO_0000001,SubClassOf,1.0
obo.ICO_0000086,obo.BFO_0000023,SubClassOf,1.0
obo.ICO_0000087,obo.IAO_0000416,SubClassOf,1.0
obo.ICO_0000088,obo.BFO_0000038,SubClassOf,1.0
obo.ICO_0000089,obo.ICO_0000088,SubClassOf,1.0
obo.ICO_0000090,obo.IAO_0000310,SubClassOf,1.0
obo.ICO_0000094,obo.OBI_0000011,SubClassOf,1.0
obo.ICO_0000095,obo.ICO_0000078,SubClassOf,1.0
obo.ICO_0000096,Thesaurus.C45258,SubClassOf,1.0
obo.ICO_0000097,Thesaurus.C45258,SubClassOf,1.0
obo.ICO_0000098,obo.ICO_0000154,SubClassOf,1.0
obo.ICO_0000099,obo.ICO_0000013,SubClassOf,1.0
obo.ICO_0000100,obo.OGMS_0000060,SubClassOf,1.0
obo.ICO_0000101,Thesaurus.C90492,SubClassOf,1.0
obo.ICO_0000102,obo.OBI_0000011,SubClassOf,1.0
